file,title,category,paperurl,other_urls
1998-03-01-nano-threads-runtime.md,Efficient Runtime Thread Management for the Nano-Threads Programming Model,workshops,https://link.springer.com/chapter/10.1007/3-540-64359-1_688,
1998-07-01-kernel-level-nano-threads.md,Kernel-Level Scheduling for the Nano-Threads Programming Model,conferences,https://doi.org/10.1145/277830.277911,
1998-09-01-enhancing-autoscheduling-dsm-multiprocessors.md,Enhancing the performance of autoscheduling in Distributed Shared Memory multiprocessors,conferences,https://doi.org/10.1007/BFb0057892,
1999-01-01-fine-grain-multiprogramming-nanothreading.md,Fine-Grain and Multiprogramming-Conscious Nanothreading with the Solaris Operating System,conferences,,
1999-01-01-nano-threads-programming-model-specification.md,Nano-Threads: Programming Model Specification,techreports,,
1999-01-01-nanos-effective-integration-parallelism.md,NANOS: Effective integration of fine-grain parallelism exploitation and multiprogramming,techreports,https://d1wqtxts1xzle7.cloudfront.net/30609008/10.1.1.24.3922-libre.pdf?1391836507=&response-content-disposition=inline%3B+filename%3DNANOS_Effective_Integration_of_Fine_grai.pdf&Expires=1748451625&Signature=SrVkj8QKZsBSRtRzToOq4ck9XqNn048FGn1fNdrMFbTs596oMIt7MNKQnZsqrhbY57Z03gGgeiDJCtsKL2S9GGbirp4u6sqArYvDWRqir4lXEwWREa1Ow3iSUtKf-ca~1sh~g7lHby6hIS6myzPUdfqwerk8LLcQ0PNve98ymnI02cKXAsLpll8FTV4WF4auvoGsawsZMHguYZT-Dd3nJZtrkzGH71ryvCItIuYJdmyul4ozZIkLZ7bDYxqxE-q-6IL39NKGzhWapA5iNy3VrIcCRwDwzLLvNETbxyCEqxrtwvxRsTrh0z4py2q2Dygv4kW04W5WzuuPaZN~hA8f5A__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,
1999-01-01-system-software-reducing-memory-latency.md,System Software Support for Reducing Memory Latency on Distributed Shared Memory Multiprocessors,conferences,https://www.researchgate.net/profile/Dimitrios-Nikolopoulos-3/publication/2520261_System_Software_Support_for_Reducing_Memory_Latency_on_Distributed_Shared_Memory_Multiprocessors/links/0c960536d40e85ae99000000/System-Software-Support-for-Reducing-Memory-Latency-on-Distributed-Shared-Memory-Multiprocessors.pdf,
1999-06-01-sync-eval-origin2000.md,A Quantitative Architectural Evaluation of Synchronization Algorithms and Disciplines on ccNUMA Systems: The Case of the SGI Origin2000,conferences,https://doi.org/10.1145/305138.305209,
1999-08-01-kernel-nano-threads.md,An Efficient Kernel-Level Scheduling Methodology for Multiprogrammed Shared Memory Multiprocessors,conferences,,
2000-05-01-fast-synchronization-hybrid-primitives.md,Fast synchronization on scalable cache-coherent multiprocessors using hybrid primitives,conferences,https://doi.org/10.1109/IPDPS.2000.846056,
2000-05-01-leveraging-transparent-data-distribution-openmp.md,Leveraging Transparent Data Distribution in OpenMP via User-Level Dynamic Page Migration,conferences,https://doi.org/10.1007/3-540-39999-2_40,
2000-05-01-user-level-page-migration.md,A Case for User-Level Dynamic Page Migration,conferences,https://doi.org/10.1145/335231.335243,
2000-06-01-efficient-dynamic-parallelism-openmp.md,Efficient Dynamic Parallelism with OpenMP on Linux SMPs,conferences,,
2000-06-01-nanos-cpu-manager.md,A Tool to Schedule Parallel Applications on Multiprocessors: The NANOS CPU Manager,workshops,https://doi.org/10.1007/3-540-39997-6_7,
2000-06-01-runtime-data-distribution-openmp.md,A Transparent Runtime Data Distribution Engine for OpenMP,manuscripts,https://onlinelibrary.wiley.com/doi/abs/10.1155/2000/417570,https://doi.org/10.1155/2000/417570
2000-08-01-page-migration-smp.md,User-Level Dynamic Page Migration for Multiprogrammed Shared-Memory Multiprocessors,conferences,https://doi.org/10.1109/ICPP.2000.876083,
2000-10-01-upmlib-memory-performance.md,UPMLIB: A Runtime System for Tuning the Memory Performance of OpenMP Programs on Scalable Shared-Memory Multiprocessors,workshops,https://doi.org/10.1007/3-540-40889-4_7,
2000-11-01-openmp-data-distribution.md,Is Data Distribution Necessary in OpenMP?,conferences,https://doi.org/10.1109/SC.2000.10025,
2001-01-01-iccs-interruptlets-java.md,Improving Java Server Performance with Interruptlets,conferences,https://doi.org/10.1007/3-540-45545-0_31,
2001-06-01-shared-memory-data-distribution.md,The Trade-Off Between Implicit and Explicit Data Distribution in Shared-Memory Programming Paradigms,conferences,https://doi.org/10.1145/377792.377801,
2001-06-01-study-implicit-data-distribution-openmp.md,A Study of Implicit Data Distribution Methods for OpenMP Using the SPEC Benchmarks,workshops,https://doi.org/10.1007/3-540-44587-0_11,
2001-06-01-synchronization-ccnuma.md,The Architectural and Operating System Implications on the Performance of Synchronization on ccNUMA Multiprocessors,manuscripts,https://doi.org/10.1023/A:1011168003859,
2001-08-01-scheduling-synchronizing-threads.md,Informing Algorithms for Efficient Scheduling of Synchronizing Threads on Multiprogrammed SMPs,conferences,https://doi.org/10.1109/ICPP.2001.952054,
2001-08-01-transparent-operating-system-infrastructure-adaptability.md,A Transparent Operating System Infrastructure for Embedding Adaptability to Thread-Based Programming Models,conferences,https://doi.org/10.1007/3-540-44681-8_75,
2001-11-01-machine-descriptors-parallelization-models.md,Using machine descriptors to select parallelization models and strategies on hierarchical systems,posters,https://core.ac.uk/download/pdf/10082841.pdf,
2001-11-01-scaling-irregular-openmp.md,Scaling Irregular Parallel Codes with Minimal Programming Effort,conferences,https://doi.org/10.1145/582034.582050,
2001-12-01-openmp-schedule-reuse.md,Exploiting Memory Affinity in OpenMP through Schedule Reuse,manuscripts,https://doi.org/10.1145/563647.563657,
2002-04-01-quantifying-resolving-remote-memory-access.md,Quantifying and resolving remote memory access contention on hardware DSM multiprocessors,conferences,https://doi.org/10.1109/IPDPS.2002.1015503,
2002-04-15-adaptive-scheduling-memory-pressure-smps.md,Adaptive scheduling under memory pressure on multiprogrammed SMPs,conferences,https://doi.org/10.1109/IPDPS.2002.1015481,
2002-04-15-effective-cross-platform-parallelism.md,"Effective cross-platform, multilevel parallelism via dynamic adaptive execution",workshops,https://doi.org/10.1109/IPDPS.2002.1016495,
2002-05-01-adaptive-scheduling-clusters.md,Adaptive Scheduling under Memory Pressure on Multiprogrammed Clusters,conferences,https://doi.org/10.1109/CCGRID.2002.1017108,
2002-06-01-scheduler-activated-page-migration.md,Scheduler-Activated Dynamic Page Migration for Multiprogrammed DSM Multiprocessors,manuscripts,https://doi.org/10.1006/jpdc.2001.1817,
2002-08-01-runtime-vs-manual-data-distribution.md,Runtime vs. Manual Data Distribution for Architecture-Agnostic Shared-Memory Programming Models,manuscripts,https://doi.org/10.1023/A:1019899812171,
2003-01-01-scaling-non-regular-shared-memory-codes.md,Scaling Non-Regular Shared-Memory Codes by Reusing Custom Loop Schedules,manuscripts,https://doi.org/10.1155/2003/379739,
2003-04-22-malleable-memory-mapping-user-level.md,Malleable memory mapping: user-level control of memory bounds for effective program adaptation,conferences,https://doi.org/10.1109/IPDPS.2003.1213074,
2003-06-01-adaptive-scheduling-farms.md,Adaptive Scheduling Under Memory Constraints on Non-Dedicated Computational Farms,manuscripts,https://doi.org/10.1016/S0167-739X(03)00031-1,https://doi.org/10.1016/S0167-739X(03
2003-07-01-shared-cache-smt.md,Code and Data Transformations for Improving Shared Cache Performance on SMT Processors,conferences,https://doi.org/10.1007/978-3-540-39707-6_5,
2003-09-01-quantifying-contention-balancing-memory-load.md,Quantifying contention and balancing memory load on hardware DSM multiprocessors,manuscripts,https://doi.org/10.1016/S0743-7315(03)00105-9,https://doi.org/10.1016/S0743-7315(03
2003-10-01-bus-aware-scheduling.md,Scheduling Algorithms with Bus Bandwidth Considerations for SMPs,conferences,https://doi.org/10.1109/ICPP.2003.1240622,
2004-01-01-dynamic-tiling-smt-caches.md,Dynamic Tiling for Effective Use of Shared Caches on Multithreaded Processors,manuscripts,https://www.inderscienceonline.com/doi/abs/10.1504/IJHPCN.2004.009265,https://doi.org/10.1504/IJHPCN.2004.009265
2004-01-01-imr-smt-meshgeneration.md,Exploiting Simultaneous Multithreading for Parallel Mesh Generation: A Multigrain Approach on Deep Multiprocessors,conferences,,
2004-04-01-memory-pressure-cows.md,Adapting to Memory Pressure from Within Scientific Applications on Multiprogrammed COWs,conferences,https://doi.org/10.1109/IPDPS.2004.1303002,
2004-10-01-precomputation-tlp-smts.md,Runtime Support for Integrating Precomputation and Thread-Level Parallelism on Simultaneous Multithreaded Processors,workshops,https://doi.org/10.1145/1066650.1066667,
2005-01-01-bus-aware-bookchapter.md,Scheduling Algorithms with Bus Bandwidth Considerations for SMPs,bookchapters,https://doi.org/10.1002/0471732710.ch16,
2005-01-01-power-aware-resource-allocation.md,Power-aware Resource Allocation via Online Simulation with Multiple-queue Backfilling,workshops,https://www.researchgate.net/profile/Dimitrios-Nikolopoulos-3/publication/250865968_Power-aware_Resource_Allocation_via_Online_Simulation_with_Multiple-queue_Backfilling/links/54f8f4350cf28d6deca2d371/Power-aware-Resource-Allocation-via-Online-Simulation-with-Multiple-queue-Backfilling.pdf,
2005-04-01-thread-pairing-hybrid.md,Scheduling Algorithms for Effective Thread Pairing on Hybrid Multiprocessors,conferences,https://doi.org/10.1109/IPDPS.2005.390,
2005-06-01-delaunay-mesh-generation.md,Multigrain Parallel Delaunay Mesh Generation: Challenges and Opportunities for Multithreaded Architectures,conferences,https://doi.org/10.1145/1088149.1088198,
2005-06-01-parallel-delaunay-mesh-generation.md,2-D Parallel Constrained Delaunay Mesh Generation: A Multigrain Approach on Deep Multiprocessors,workshops,https://pureadmin.qub.ac.uk/ws/files/3415998/pmua.pdf,
2005-08-01-smt-sprints-software-precomputation-intelligent.md,smt-SPRINTS: Software Precomputation with Intelligent Streaming for Resource-Constrained SMTs,conferences,https://doi.org/10.1007/11549468_78,
2005-09-01-factory-object-oriented-parallel-programming.md,Factory: An Object-Oriented Parallel Programming Substrate for Deep Multiprocessors,conferences,https://doi.org/10.1007/11557654_28,
2005-09-01-multithreaded-execution-smt.md,Integrating Multiple Forms of Multithreaded Execution on Multi-SMT Systems: A Study with Scientific Applications,conferences,https://doi.org/10.1109/QEST.2005.16,
2005-12-01-scheduling-memory-bandwidth.md,Realistic Workload Scheduling Policies for Taming the Memory Bandwidth Bottleneck of SMPs,conferences,https://doi.org/10.1007/978-3-540-30474-6_33,
2006-01-01-designing-effective-memory-allocators.md,Designing effective memory allocators for multicore and multithreaded systems: A case study with irregular and adaptive applications,techreports,,
2006-01-01-exploring-programming-models-cell-raxml.md,Exploring Programming Models and Optimizations for the Cell Broadband Engine using RAxML,invited,,
2006-04-01-facing-challenges-multicore-processor-technologies.md,Facing the challenges of multicore processor technologies using autonomic system software,keynotes,https://doi.org/10.1109/IPDPS.2006.1639604,
2006-04-01-mesa-cache-conflict-reduction.md,MESA: Reducing Cache Conflicts by Integrating Static and Run-Time Methods,conferences,https://doi.org/10.1109/ISPASS.2006.1620803,
2006-04-01-online-strategies-power-aware.md,Online Strategies for High-Performance Power-Aware Thread Execution on Emerging Multiprocessors,workshops,https://doi.org/10.1109/IPDPS.2006.1639598,
2006-05-15-design-online-predictors-autonomic-power.md,On the design of online predictors for autonomic power-performance adaptation of multithreaded programs,manuscripts,,
2006-06-01-power-performance-multithreading.md,Online Power-Performance Adaptation of Multithreaded Programs Using Hardware Event-Based Prediction,conferences,https://doi.org/10.1145/1183401.1183426,
2006-06-01-runtime-support-memory-adaptation-scientific.md,Runtime Support for Memory Adaptation in Scientific Applications via Local Disk and Remote Memory,conferences,https://doi.org/10.1109/HPDC.2006.1652149,
2006-06-01-scalable-memory-allocation.md,Scalable Locality-Conscious Multithreaded Memory Allocation,conferences,https://doi.org/10.1145/1133956.1133968,
2006-09-01-pacman-performance-counters-manager.md,PACMAN: A PerformAnce Counters MANager for Intel Hyperthreaded Processors,conferences,https://doi.org/10.1109/QEST.2006.41,
2006-12-01-dynamic-program-stirring-multiple-cores.md,"Dynamic Program Stirring on Multiple Cores: How Hardware Performance Monitors Can Help Regulate Performance, Power, and Temperature Simultaneously",workshops,,
2007-01-01-achieving-multiprogramming-scalability-nanothreading.md,Achieving Multiprogramming Scalability of Parallel Programs on Intel SMP Platforms: Nanothreading in the Linux Kernel,conferences,https://doi.org/10.1142/9781848160170_0074,
2007-01-01-multigrain-parallelism-techreport.md,Modeling Multigrain Parallelism on Heterogeneous Multi-core Processors,techreports,,
2007-01-01-synthesizing-parallel-programming-models.md,Synthesizing Parallel Programming Models for Asymmetric Multi-core Systems,workshops,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=5bb442be0ce5548b907e0221df4dec49df72b545,
2007-03-01-comparison-online-offline-strategies.md,A comparison of online and offline strategies for program adaptation,conferences,https://doi.org/10.1145/1233341.1233371,
2007-03-01-dynamic-multigrain-cell.md,Dynamic Multigrain Parallelization on the Cell Broadband Engine,conferences,https://doi.org/10.1145/1229428.1229445,
2007-03-01-raxml-cell.md,RAxML-Cell: Parallel Phylogenetic Tree Inference on the Cell Broadband Engine,conferences,https://doi.org/10.1109/IPDPS.2007.370267,
2007-06-01-application-specific-customization-vt-asos.md,Application-specific customization on many-core platforms: the VT-ASOS framework,workshops,,
2007-06-01-runtime-programming-support-memory-adaptation.md,Runtime and Programming Support for Memory Adaptation in Scientific Applications via Local Disk and Remote Memory,manuscripts,https://doi.org/10.1007/s10723-007-9075-7,
2007-09-01-asymmetric-multicore-systems.md,System Software Challenges and Opportunities on Asymmetric Multi-core Processors,invited,,
2007-09-01-energy-efficient-concurrency-ml.md,Identifying Energy-Efficient Concurrency Levels Using Machine Learning,workshops,https://doi.org/10.1109/CLUSTR.2007.4629274,
2007-09-01-experience-memory-allocators-parallel-mesh.md,Experience with memory allocators for parallel mesh generation on multicore architectures,conferences,,
2007-09-01-raxml-ibm-cell.md,Exploring New Search Algorithms and Hardware for Phylogenetics: RAxML Meets the IBM Cell,manuscripts,https://doi.org/10.1007/s11265-007-0067-4,
2007-10-01-runtime-scheduling-accelerator.md,Runtime Scheduling of Dynamic Parallelism on Accelerator-Based Multi-Core Systems,manuscripts,https://doi.org/10.1016/j.parco.2007.09.004,
2008-01-01-dma-prefetch-cell.md,DMA-Based Prefetching for I/O-Intensive Workloads on the Cell Architecture,conferences,https://doi.org/10.1145/1366230.1366236,
2008-01-01-melisses-techreport.md,COMPUTER SCIENCE RESEARCH MELISSES: Liquid Services for Scalable Multithreaded and Multicore Execution on Emerging Supercomputers,techreports,,
2008-01-01-modeling-multigrain-parallelism-cell.md,Modeling Multigrain Parallelism on Heterogeneous Multi-core Processors: A Case Study of the Cell BE,conferences,https://doi.org/10.1007/978-3-540-77560-7_4,
2008-01-01-set-top-supercomputing-game-consoles.md,Set-top supercomputing: scalable software for scientific simulations on game consoles,invited,https://ercim-news.ercim.eu/en74/special/set-top-supercomputing-scalable-software-for-scientific-simulations-on-game-consoles,
2008-02-01-supporting-io-intensive-workloads-cell.md,Supporting I/O-Intensive Workloads on the Cell Architecture,conferences,https://www.usenix.org/legacy/events/fast08/wips_posters/rafique-poster.pdf,
2008-04-01-vt-asos-holistic-system-software.md,VT-ASOS: Holistic system software customization for many cores,workshops,https://doi.org/10.1109/IPDPS.2008.4536390,
2008-05-01-cellswat-wavefront-cell.md,Cell-SWat: Modeling and Scheduling Wavefront Computations on the Cell Broadband Engine,conferences,https://doi.org/10.1145/1366230.1366235,
2008-05-01-scheduling-asymmetric-parallelism-playstation3.md,Scheduling Asymmetric Parallelism on a PlayStation3 Cluster,conferences,https://doi.org/10.1109/CCGRID.2008.64,
2008-06-01-evaluation-openmp-multicore.md,An Evaluation of OpenMP on Current and Emerging Multithreaded/Multicore Processors,workshops,https://doi.org/10.1007/978-3-540-68555-5_11,
2008-07-01-hardware-support-explicit-communication.md,Hardware Support for Explicit Communication in Scalable CMPs,techreports,,
2008-10-01-power-performance-scientific-codes.md,Prediction-Based Power-Performance Adaptation of Multithreaded Scientific Codes,manuscripts,https://doi.org/10.1109/TPDS.2007.70804,
2008-10-25-power-performance-prediction.md,Prediction Models for Multi-Dimensional Power-Performance Optimization on Many Cores,conferences,https://doi.org/10.1145/1454115.1454151,
2009-01-01-fast2009-accelerator-poster.md,Supporting Data-Intensive Applications on Accelerator-Based Distributed Systems,posters,,
2009-02-01-programming-models-emm.md,A Comparison of Programming Models for Multiprocessors with Explicitly Managed Memory Hierarchies,conferences,https://doi.org/10.1145/1504176.1504197,
2009-04-01-mapreduce-asymmetric-clusters.md,Supporting MapReduce on Large-Scale Asymmetric Multi-Core Clusters,manuscripts,https://doi.org/10.1145/1531793.1531800,
2009-04-01-programming-models-emm-journal.md,A Comparison of Programming Models for Multiprocessors with Explicitly Managed Memory Hierarchies,manuscripts,https://doi.org/10.1145/1594835.1504197,
2009-05-01-cellmr-mapreduce.md,CellMR: A Framework for Supporting MapReduce on Asymmetric Cell-Based Clusters,conferences,https://doi.org/10.1109/IPDPS.2009.5161062,
2009-05-01-scicomp-cellbe-scheduling.md,Scheduling Dynamic Parallelism on the Cell BE,conferences,,
2009-05-18-scheduling-dynamic-parallelism-accelerators.md,Scheduling dynamic parallelism on accelerators,conferences,https://doi.org/10.1145/1531743.1531769,
2009-07-01-delaunay-mesh-jpdc.md,A Multigrain Delaunay Mesh Generation Method for Multicore SMT-Based Architectures,manuscripts,https://doi.org/10.1016/j.jpdc.2009.03.009,
2009-07-01-delaunay-smt-optimization.md,"Algorithm, Software, and Hardware Optimizations for Delaunay Mesh Generation on Simultaneous Multithreaded Architectures",manuscripts,https://doi.org/10.1016/j.jpdc.2009.03.005,
2009-09-01-runtime-framework-multidimensional-arrays.md,A Runtime Framework for Optimizing Multi-Dimensional Array Accesses on Multi-core Processors,techreports,,
2009-10-01-green-building-blocks.md,Green Building Blocks - Software Stacks for Energy-Efficient Clusters and Data Centres,invited,https://ercim-news.ercim.eu/en79/special/green-building-blocks,
2009-11-01-sc2009-hybrid-power-poster.md,Model-Based Hybrid MPI/OpenMP Power-Aware Computing,posters,,
2009-12-01-economist-processors-cooperation.md,Processors: The Challenge of Cooperation,magazines,,
2009-12-01-explicit-memory-multiprocessors.md,Programming Multiprocessors with Explicitly Managed Memory Hierarchies,manuscripts,https://doi.org/10.1109/MC.2009.407,
2009-12-21-cluster2009-welcome.md,Proceedings of the Parallel Programming wtih Accelerators Workshop,volumes,https://doi.org/10.1109/CLUSTR.2009.5289209,
2010-01-01-parallelization-h264-cell-be.md,Parallelization and Performance of an H.264 Video Encoder on the Cell BE,techreports,https://pureadmin.qub.ac.uk/ws/files/3630536/acaces09.pdf,
2010-01-01-scoop-source-level-compiler-optimizations.md,SCOOP: Source-level COmpiler Optimizations for Parallelism,techreports,,
2010-01-01-tpc-cell-runtime.md,Tagged Procedure Calls (TPC): Efficient Runtime Support for Task-Based Parallelism on the Cell Processor,conferences,https://doi.org/10.1007/978-3-642-11515-8_23,
2010-03-01-scalability-productivity-parallel-models.md,Scalability and Productivity of Parallel Programming Models for Heterogeneous–ISA Multi-Core Architectures with Local Memories,techreports,https://people.ac.upc.edu/vbeltran/papers/MICRO10.pdf,
2010-04-01-hybrid-mpi-openmp-power.md,Hybrid MPI/OpenMP Power-Aware Computing,conferences,https://doi.org/10.1109/IPDPS.2010.5470463,
2010-04-01-power-aware-mpi-aggregation.md,Power-Aware MPI Task Aggregation Prediction for High-End Computing Systems,conferences,https://doi.org/10.1109/IPDPS.2010.5470464,
2010-05-01-accelerator-distributed-systems.md,Designing Accelerator-Based Distributed Systems for High Performance,conferences,https://doi.org/10.1109/CCGRID.2010.109,
2010-05-01-cache-integrated-ni.md,On-chip Communication and Synchronization Mechanisms with Cache-Integrated Network Interfaces,conferences,https://doi.org/10.1145/1787275.1787328,
2010-07-01-streaming-aggregation-parallel.md,Evaluation of Streaming Aggregation on Parallel Hardware Architectures,conferences,https://doi.org/10.1145/1827418.1827467,
2010-08-01-mapreduce-heterogeneous-multicores.md,Rearchitecting MapReduce for Heterogeneous Multicore Processors with Explicitly Managed Memories,conferences,https://doi.org/10.1109/ICPP.2010.21,
